station_id,2023-05-06
SNOTEL:462_CA_SNTL,74.9
SNOTEL:463_CA_SNTL,65.5
SNOTEL:464_OR_SNTL,3.6
SNOTEL:465_CO_SNTL,17.4
SNOTEL:466_ID_SNTL,25.5
SNOTEL:467_CO_SNTL,16.3
SNOTEL:470_OR_SNTL,0.4
SNOTEL:472_WY_SNTL,24.2
SNOTEL:474_UT_SNTL,57.8
SNOTEL:475_UT_SNTL,24
SNOTEL:476_NV_SNTL,9.2
SNOTEL:477_OR_SNTL,-9999
SNOTEL:478_WA_SNTL,12.3
SNOTEL:480_MT_SNTL,35.4
SNOTEL:481_UT_SNTL,22.2
SNOTEL:482_MT_SNTL,32.9
SNOTEL:483_OR_SNTL,23.6
SNOTEL:484_ID_SNTL,40
SNOTEL:485_CO_SNTL,16.1
SNOTEL:486_NM_SNTL,0.3
SNOTEL:487_MT_SNTL,4.5
SNOTEL:488_AZ_SNTL,-9999
SNOTEL:489_ID_SNTL,15.7
SNOTEL:490_ID_SNTL,21.5
SNOTEL:491_NM_SNTL,0
SNOTEL:493_ID_SNTL,9.2
SNOTEL:494_OR_SNTL,4.5
SNOTEL:495_UT_SNTL,0
SNOTEL:497_WY_SNTL,10.9
SNOTEL:498_NV_SNTL,30.4
SNOTEL:499_WY_SNTL,30.4
SNOTEL:500_MT_SNTL,0
SNOTEL:503_NV_SNTL,20.2
SNOTEL:505_CO_SNTL,15.4
SNOTEL:507_WA_SNTL,4.7
SNOTEL:508_CA_SNTL,35.9
SNOTEL:509_WY_SNTL,7.7
SNOTEL:510_MT_SNTL,0
SNOTEL:512_WY_SNTL,3.2
SNOTEL:514_UT_SNTL,0.3
SNOTEL:519_AZ_SNTL,0
SNOTEL:520_ID_SNTL,48.1
SNOTEL:521_UT_SNTL,7.7
SNOTEL:522_UT_SNTL,4.7
SNOTEL:523_OR_SNTL,28.1
SNOTEL:524_ID_SNTL,15.8
SNOTEL:525_WY_SNTL,17.4
SNOTEL:526_OR_SNTL,18.5
SNOTEL:528_UT_SNTL,4.7
SNOTEL:529_OR_SNTL,41.8
SNOTEL:530_MT_SNTL,34.6
SNOTEL:531_CO_SNTL,13.2
SNOTEL:532_NM_SNTL,11.2
SNOTEL:533_UT_SNTL,26.8
SNOTEL:535_ID_SNTL,7.6
SNOTEL:540_CA_SNTL,11.1
SNOTEL:541_CA_SNTL,79.8
SNOTEL:542_CO_SNTL,12.8
SNOTEL:543_UT_SNTL,13
SNOTEL:548_NV_SNTL,16.3
SNOTEL:549_NV_SNTL,-9999
SNOTEL:550_ID_SNTL,28.1
SNOTEL:552_OR_SNTL,10.5
SNOTEL:553_WA_SNTL,68.9
SNOTEL:554_WY_SNTL,17.5
SNOTEL:555_WY_SNTL,6.1
SNOTEL:556_CO_SNTL,3.2
SNOTEL:558_OR_SNTL,4.3
SNOTEL:559_UT_SNTL,14.5
SNOTEL:560_WY_SNTL,8.4
SNOTEL:562_MT_SNTL,0
SNOTEL:563_OR_SNTL,0.2
SNOTEL:564_CO_SNTL,5
SNOTEL:565_CO_SNTL,24.7
SNOTEL:566_UT_SNTL,14.4
SNOTEL:568_MT_SNTL,5.4
SNOTEL:569_NV_SNTL,0.1
SNOTEL:570_NV_SNTL,14
SNOTEL:571_WY_SNTL,-9999
SNOTEL:572_UT_SNTL,9.8
SNOTEL:575_CA_SNTL,19.2
SNOTEL:576_MT_SNTL,8.3
SNOTEL:577_WY_SNTL,34.1
SNOTEL:579_UT_SNTL,9.3
SNOTEL:580_CO_SNTL,11.2
