station_id,2022-12-10
SNOTEL:390_UT_SNTL,4.4
SNOTEL:392_UT_SNTL,7.2
SNOTEL:393_UT_SNTL,6.9
SNOTEL:396_UT_SNTL,3.9
SNOTEL:397_WY_SNTL,-9999.0
SNOTEL:398_OR_SNTL,4.2
SNOTEL:399_UT_SNTL,5.0
SNOTEL:401_OR_SNTL,3.4
SNOTEL:402_WY_SNTL,4.3
SNOTEL:403_MT_SNTL,6.9
SNOTEL:406_OR_SNTL,4.7
SNOTEL:407_MT_SNTL,3.5
SNOTEL:409_CO_SNTL,5.4
SNOTEL:410_MT_SNTL,1.9
SNOTEL:411_ID_SNTL,11.0
SNOTEL:412_CO_SNTL,2.8
SNOTEL:413_MT_SNTL,2.1
SNOTEL:414_MT_SNTL,6.9
SNOTEL:415_CO_SNTL,4.8
SNOTEL:416_AZ_SNTL,0.0
SNOTEL:417_NV_SNTL,8.8
SNOTEL:418_WA_SNTL,10.4
SNOTEL:419_WY_SNTL,6.2
SNOTEL:420_WA_SNTL,5.8
SNOTEL:421_WY_SNTL,-9999.0
SNOTEL:422_OR_SNTL,1.6
SNOTEL:423_ID_SNTL,4.3
SNOTEL:424_ID_SNTL,6.0
SNOTEL:426_CO_SNTL,4.8
SNOTEL:428_CA_SNTL,8.9
SNOTEL:430_CO_SNTL,3.1
SNOTEL:431_CO_SNTL,5.2
SNOTEL:432_UT_SNTL,3.8
SNOTEL:433_MT_SNTL,2.6
SNOTEL:434_OR_SNTL,5.5
SNOTEL:436_MT_SNTL,9.0
SNOTEL:437_MT_SNTL,3.9
SNOTEL:438_CO_SNTL,5.2
SNOTEL:439_ID_SNTL,10.8
SNOTEL:441_UT_SNTL,-9999.0
SNOTEL:444_UT_SNTL,3.4
SNOTEL:448_MT_SNTL,4.2
SNOTEL:449_WY_SNTL,5.3
SNOTEL:450_ID_SNTL,8.0
SNOTEL:451_WY_SNTL,2.2
SNOTEL:452_UT_SNTL,3.0
SNOTEL:455_UT_SNTL,6.5
SNOTEL:457_CO_SNTL,8.1
SNOTEL:458_MT_SNTL,2.9
SNOTEL:460_WY_SNTL,2.4
SNOTEL:462_CA_SNTL,10.0
SNOTEL:463_CA_SNTL,9.7
SNOTEL:464_OR_SNTL,2.9
SNOTEL:465_CO_SNTL,2.2
SNOTEL:466_ID_SNTL,8.7
